Date,Open,High,Low,Close,Volume
10/16/2020,"544.00","565.45","543.25","559.00","13,745,750"
10/15/2020,"509.08","540.05","506.50","536.40","16,520,600"
10/14/2020,"518.78","519.80","498.60","509.25","8,327,654"
10/13/2020,"494.00","520.00","493.00","518.79","8,941,474"
10/12/2020,"501.43","506.11","490.48","491.54","6,979,462"
10/09/2020,"487.99","498.90","484.08","492.41","8,719,691"
10/08/2020,"484.00","489.49","475.58","478.55","4,193,060"
10/07/2020,"482.50","487.50","477.11","480.61","4,449,496"
10/06/2020,"480.51","487.90","473.22","478.25","6,097,682"
10/05/2020,"493.97","496.90","475.26","485.37","7,534,656"
10/02/2020,"485.01","507.49","481.00","482.23","12,791,720"
10/01/2020,"477.00","483.73","465.00","482.99","7,859,345"
09/30/2020,"464.21","481.56","462.00","470.11","8,971,123"
09/29/2020,"488.13","489.80","463.00","465.50","15,241,180"
09/28/2020,"502.41","519.77","479.57","487.66","17,621,340"
09/25/2020,"474.87","500.00","474.87","496.50","12,906,780"
09/24/2020,"487.01","502.25","457.69","464.98","17,896,570"
09/23/2020,"489.49","529.74","483.25","500.53","27,051,301"
09/22/2020,"477.00","494.90","458.75","492.60","16,440,580"
09/21/2020,"434.00","470.00","434.00","468.47","16,843,840"
09/18/2020,"419.80","442.00","407.50","438.73","22,315,721"
09/17/2020,"389.00","417.82","387.00","413.13","9,260,430"
09/16/2020,"406.27","419.42","404.22","408.17","6,746,892"
09/15/2020,"410.00","413.50","391.05","410.94","8,495,611"
09/14/2020,"391.75","404.36","386.13","403.51","7,963,100"
09/11/2020,"389.13","400.75","373.05","383.00","9,297,631"
09/10/2020,"400.00","407.82","378.36","384.48","11,932,130"
09/09/2020,"369.75","394.80","362.12","389.65","17,325,779"
09/08/2020,"350.70","365.50","345.68","350.88","7,966,481"
09/04/2020,"375.50","386.01","346.76","369.89","13,230,100"
09/03/2020,"399.55","409.90","367.00","381.32","20,304,340"
09/02/2020,"445.67","445.67","410.00","423.56","18,866,830"
09/01/2020,"439.51","478.00","410.68","457.69","53,346,793"
08/31/2020,"304.01","325.90","301.27","325.10","23,468,141"
08/28/2020,"299.22","303.58","297.26","299.27","5,353,424"
08/27/2020,"295.69","301.52","290.33","294.68","5,560,590"
08/26/2020,"293.00","302.00","290.85","295.27","5,692,064"
08/25/2020,"279.00","293.72","275.81","290.44","4,602,867"
08/24/2020,"293.00","293.87","274.11","282.28","6,463,517"
08/21/2020,"291.00","295.97","286.94","289.68","5,250,117"
08/20/2020,"274.45","290.88","273.99","290.69","9,318,392"
08/19/2020,"274.68","279.59","270.32","273.51","4,674,004"
08/18/2020,"271.72","277.78","265.50","276.80","6,517,049"
08/17/2020,"248.70","267.94","248.51","266.15","8,959,207"
08/14/2020,"249.44","252.43","242.40","244.91","3,662,809"
08/13/2020,"238.15","250.10","238.15","247.25","4,749,728"
08/12/2020,"232.30","239.40","230.75","236.72","3,932,256"
08/11/2020,"245.48","245.48","230.00","231.04","9,730,520"
08/10/2020,"259.14","261.44","244.54","250.00","5,714,036"
08/07/2020,"266.45","268.00","252.79","258.73","5,024,681"
08/06/2020,"273.87","274.48","263.91","268.25","3,602,884"
08/05/2020,"266.29","275.09","262.52","272.90","4,517,659"
08/04/2020,"268.00","269.19","262.00","267.34","3,087,253"
08/03/2020,"256.83","271.10","256.11","268.00","6,787,878"
07/31/2020,"253.50","255.20","248.36","253.91","3,381,064"
07/30/2020,"250.31","256.33","239.32","250.00","7,926,051"
07/29/2020,"255.55","259.93","251.15","252.39","3,333,748"
07/28/2020,"252.70","258.91","251.32","252.18","3,366,216"
07/27/2020,"249.28","252.97","246.22","252.33","3,328,563"
07/24/2020,"246.20","250.21","237.20","246.56","4,303,198"
07/23/2020,"260.84","264.90","249.21","251.50","4,589,358"
07/22/2020,"261.95","265.40","255.81","261.18","4,581,585"
07/21/2020,"268.75","269.75","258.20","260.44","4,761,971"
07/20/2020,"246.49","271.35","245.99","268.58","9,784,919"
07/17/2020,"247.17","250.94","241.29","246.54","4,626,550"
07/16/2020,"250.39","253.00","243.43","248.54","5,420,142"
07/15/2020,"253.70","257.50","248.12","256.22","6,073,639"
07/14/2020,"260.96","265.33","240.45","260.01","8,713,138"
07/13/2020,"278.63","281.00","256.34","260.30","9,293,047"
07/10/2020,"271.77","278.16","268.64","275.87","6,354,790"
07/09/2020,"269.01","272.70","264.22","269.52","5,396,039"
07/08/2020,"263.80","268.53","261.29","266.32","6,012,921"
07/07/2020,"261.55","266.45","258.10","262.10","7,819,728"
07/06/2020,"265.00","275.08","259.32","261.00","12,250,170"
07/02/2020,"261.00","263.80","258.00","261.74","5,629,042"
07/01/2020,"251.35","261.00","247.21","259.13","6,803,313"
06/30/2020,"249.87","256.83","248.35","253.54","6,305,519"
06/29/2020,"254.97","255.90","243.59","248.56","8,436,437"
06/26/2020,"260.52","261.62","250.36","256.80","17,142,900"
06/25/2020,"258.23","260.29","252.66","259.51","7,490,491"
06/24/2020,"254.50","258.75","248.60","255.90","9,862,774"
06/23/2020,"251.26","254.78","247.57","252.81","8,791,498"
06/22/2020,"247.47","254.90","247.29","251.27","11,093,700"
06/19/2020,"241.64","243.57","238.70","243.48","10,077,540"
06/18/2020,"240.39","242.61","238.22","241.57","9,340,944"
06/17/2020,"243.18","243.88","235.12","236.76","11,704,330"
06/16/2020,"235.99","243.50","231.82","242.56","11,333,310"
06/15/2020,"227.84","239.59","226.38","239.02","13,959,080"
06/12/2020,"224.79","231.45","216.75","219.52","8,780,413"
06/11/2020,"219.18","232.00","218.50","222.07","17,615,750"
06/10/2020,"208.89","221.53","208.26","221.02","12,241,110"
06/09/2020,"209.83","210.59","202.93","205.43","7,521,808"
06/08/2020,"204.35","211.44","198.66","209.83","10,457,500"
06/05/2020,"200.11","208.94","196.10","207.60","16,298,730"
06/04/2020,"221.00","223.00","207.60","210.35","20,212,600"
06/03/2020,"211.70","224.46","202.32","223.87","32,390,119"
06/02/2020,"210.25","212.69","197.32","208.08","36,853,398"
06/01/2020,"183.18","205.87","183.00","204.15","24,394,391"
05/29/2020,"168.00","179.99","167.86","179.48","15,311,280"
05/28/2020,"159.23","169.40","159.20","163.55","6,393,691"
05/27/2020,"158.01","162.22","149.16","161.97","10,076,710"
05/26/2020,"169.10","169.69","163.12","164.00","6,689,691"
05/22/2020,"171.86","175.89","170.20","171.06","4,302,150"
05/21/2020,"175.96","177.80","168.36","172.03","5,525,274"
05/20/2020,"173.53","175.64","170.53","175.48","6,910,014"
05/19/2020,"167.00","173.86","166.21","173.68","8,485,526"
05/18/2020,"170.03","173.44","162.64","164.69","9,636,750"
05/15/2020,"166.75","175.44","166.56","174.83","8,540,460"
05/14/2020,"168.26","170.80","162.89","167.91","6,730,504"
05/13/2020,"163.61","171.50","159.17","167.14","11,081,300"
05/12/2020,"168.00","168.23","160.05","161.04","7,102,604"
05/11/2020,"159.43","168.00","158.00","166.48","10,142,710"
05/08/2020,"160.00","161.16","152.70","155.40","7,079,101"
05/07/2020,"154.84","162.00","154.04","157.80","8,388,863"
05/06/2020,"145.47","150.74","144.09","149.59","6,031,085"
05/05/2020,"144.43","148.44","140.86","144.82","7,376,349"
05/04/2020,"140.77","144.98","140.45","143.44","9,184,748"
05/01/2020,"136.00","141.63","132.67","138.56","13,806,990"
04/30/2020,"139.99","143.80","133.68","135.17","16,682,260"
04/29/2020,"147.98","151.00","143.38","146.48","22,033,320"
04/28/2020,"165.00","166.00","155.25","156.72","13,477,840"
04/27/2020,"156.59","167.85","155.00","164.60","19,783,689"
04/24/2020,"177.15","181.50","158.30","158.80","44,049,512"
04/23/2020,"154.01","169.75","153.49","169.09","22,159,850"
04/22/2020,"147.10","152.28","145.10","150.25","6,552,834"
04/21/2020,"151.42","154.75","138.36","143.27","9,709,142"
04/20/2020,"153.30","155.00","148.25","148.99","11,218,690"
04/17/2020,"147.91","153.79","144.03","150.06","11,328,410"
04/16/2020,"149.92","154.25","146.80","150.26","15,138,170"
04/15/2020,"141.71","152.57","140.00","151.56","14,193,280"
04/14/2020,"141.07","145.20","139.01","141.89","11,679,920"
04/13/2020,"127.00","136.86","125.60","135.92","15,411,680"
04/09/2020,"117.80","125.50","114.00","124.51","15,512,970"
04/08/2020,"115.02","125.88","112.50","117.81","26,243,289"
04/07/2020,"118.01","118.44","109.57","113.75","20,166,160"
04/06/2020,"113.63","125.18","108.53","122.94","25,185,600"
04/03/2020,"124.30","128.48","120.11","128.20","12,238,130"
04/02/2020,"125.30","133.49","114.50","121.93","27,313,750"
04/01/2020,"144.50","144.60","135.18","137.00","11,453,260"
03/31/2020,"147.02","149.79","143.36","146.12","10,023,700"
03/30/2020,"160.76","161.69","147.20","150.88","15,762,180"
03/27/2020,"145.70","154.97","145.60","151.70","13,271,900"
03/26/2020,"140.51","146.65","138.20","141.15","9,284,038"
03/25/2020,"140.11","149.00","136.20","138.11","14,743,010"
03/24/2020,"154.00","155.00","133.88","135.18","22,401,330"
03/23/2020,"142.00","164.94","137.25","159.56","27,681,461"
03/20/2020,"129.00","135.98","124.00","130.55","13,872,630"
03/19/2020,"122.95","132.23","119.10","123.77","16,248,380"
03/18/2020,"111.00","119.00","108.85","118.71","13,594,330"
03/17/2020,"107.33","113.83","102.00","111.10","18,721,520"
03/16/2020,"105.00","119.87","103.20","107.86","17,210,660"
03/13/2020,"113.00","113.80","104.16","107.47","9,233,528"
03/12/2020,"106.25","113.87","104.39","109.47","12,097,920"
03/11/2020,"108.41","113.99","107.00","110.30","12,594,390"
03/10/2020,"113.80","113.80","105.00","108.49","10,244,040"
03/09/2020,"105.00","116.50","100.88","113.75","14,571,290"
03/06/2020,"119.65","122.00","107.00","114.32","22,975,680"
03/05/2020,"110.25","129.83","110.00","125.00","28,149,359"
03/04/2020,"118.51","119.97","113.11","116.80","12,102,570"
03/03/2020,"114.55","119.20","112.11","117.47","11,033,680"
03/02/2020,"109.35","114.50","102.50","113.11","10,157,440"
02/28/2020,"121.07","121.93","97.37","105.00","21,710,990"
02/27/2020,"109.43","118.00","107.60","113.55","13,511,850"
02/26/2020,"109.94","111.30","105.60","106.88","6,885,393"
02/25/2020,"108.52","111.80","104.47","107.08","13,425,940"
02/24/2020,"97.80","110.00","97.02","105.01","12,172,750"
02/21/2020,"104.03","104.29","98.09","101.76","5,535,908"
02/20/2020,"104.00","110.75","101.43","105.29","11,293,190"
02/19/2020,"100.32","105.08","99.75","103.93","7,793,793"
02/18/2020,"93.02","98.14","92.40","96.39","5,669,685"
02/14/2020,"90.88","91.71","89.81","90.95","2,295,039"
02/13/2020,"87.61","91.93","87.00","89.86","3,406,429"
02/12/2020,"88.66","89.50","86.52","88.28","1,671,131"
02/11/2020,"90.00","90.50","87.93","88.68","2,731,896"
02/10/2020,"89.09","89.98","86.91","89.67","2,071,618"
02/07/2020,"87.23","90.60","86.81","88.64","2,636,910"
02/06/2020,"87.00","89.44","85.26","87.26","2,410,793"
02/05/2020,"85.77","90.97","83.76","86.99","5,126,835"
02/04/2020,"91.04","93.30","83.50","85.79","10,611,020"
02/03/2020,"77.69","88.94","77.51","87.66","13,023,450"
01/31/2020,"74.27","76.67","73.30","76.30","2,521,702"
01/30/2020,"73.10","74.80","72.55","74.54","1,425,377"
01/29/2020,"72.51","74.14","71.21","73.58","1,374,490"
01/28/2020,"71.00","72.48","70.26","71.51","1,598,234"
01/27/2020,"71.33","72.13","70.32","70.44","1,750,696"
01/24/2020,"74.97","76.19","72.37","73.00","1,660,195"
01/23/2020,"75.67","75.97","74.21","74.47","1,279,050"
01/22/2020,"77.07","77.11","75.46","75.61","1,501,614"
01/21/2020,"75.56","77.12","74.32","76.73","1,606,683"
01/17/2020,"76.66","76.90","75.49","75.56","1,357,419"
01/16/2020,"78.00","78.79","75.11","76.11","2,999,426"
01/15/2020,"73.28","77.78","73.20","76.94","3,963,465"
01/14/2020,"74.32","75.12","72.26","73.16","1,910,801"
01/13/2020,"73.89","75.58","73.80","74.03","3,348,152"
01/10/2020,"73.08","73.80","72.25","73.09","1,656,235"
01/09/2020,"73.99","74.00","71.35","72.62","2,776,328"
01/08/2020,"71.81","73.29","71.03","72.55","2,483,510"
01/07/2020,"70.29","72.84","69.37","71.90","7,004,619"
01/06/2020,"66.63","70.50","65.81","70.32","3,152,028"
01/03/2020,"67.62","68.68","67.10","67.28","1,128,483"
01/02/2020,"68.80","69.24","68.02","68.72","1,315,723"
12/31/2019,"66.38","68.18","66.31","68.04","1,352,189"
12/30/2019,"66.56","67.18","65.52","66.79","1,162,743"
12/27/2019,"67.51","67.96","66.51","66.64","955,620"
12/26/2019,"66.50","68.19","66.30","67.45","1,387,945"
12/24/2019,"66.30","66.89","65.74","66.46","562,588"
12/23/2019,"67.02","67.50","65.93","66.15","1,664,335"
12/20/2019,"68.20","68.48","66.41","66.93","2,201,429"
12/19/2019,"67.75","68.46","67.10","68.18","1,613,189"
12/18/2019,"66.22","68.14","66.04","67.60","2,237,384"
12/17/2019,"66.62","66.62","65.40","66.17","2,301,148"
12/16/2019,"63.59","66.39","63.56","66.35","3,284,172"
12/13/2019,"62.50","63.75","62.02","63.54","2,489,078"
12/12/2019,"63.49","64.23","62.12","62.49","3,321,682"
12/11/2019,"64.24","64.45","62.05","63.52","3,686,821"
12/10/2019,"65.49","65.83","63.39","64.57","3,896,467"
12/09/2019,"62.39","67.27","62.33","65.94","5,251,707"
12/06/2019,"64.26","65.08","62.11","62.74","11,257,630"
12/05/2019,"70.03","70.75","69.22","69.67","3,904,978"
12/04/2019,"70.50","70.90","69.15","69.96","2,076,766"
12/03/2019,"66.72","70.53","66.05","70.02","2,445,706"
12/02/2019,"74.06","74.50","68.46","68.93","3,161,571"
11/29/2019,"74.10","74.94","73.86","74.50","512,643"
11/27/2019,"75.81","75.84","73.36","74.08","1,356,274"
11/26/2019,"75.00","75.77","74.76","75.16","1,848,973"
11/25/2019,"73.80","75.06","72.86","74.55","1,943,187"
11/22/2019,"72.00","74.00","71.15","73.16","3,059,878"
11/21/2019,"71.50","71.95","69.58","69.92","1,129,235"
11/20/2019,"69.25","71.71","68.55","70.99","2,794,193"
11/19/2019,"70.19","70.33","68.19","69.64","1,706,045"
11/18/2019,"70.47","71.14","68.78","70.08","1,676,349"
11/15/2019,"68.13","71.10","67.91","70.01","2,316,053"
11/14/2019,"67.77","68.15","66.71","67.74","938,903"
11/13/2019,"68.00","68.51","66.87","68.01","1,987,325"
11/12/2019,"68.50","70.05","67.56","68.00","1,910,953"
11/11/2019,"69.51","70.19","67.76","68.39","1,040,564"
11/08/2019,"66.54","70.00","66.52","69.85","1,478,204"
11/07/2019,"67.03","68.68","66.21","66.81","1,129,086"
11/06/2019,"66.95","67.13","65.36","66.83","1,328,637"
11/05/2019,"70.71","70.85","66.68","66.89","1,813,895"
11/04/2019,"70.81","70.85","69.01","70.12","1,565,768"
11/01/2019,"69.86","70.55","68.02","70.39","3,562,840"
10/31/2019,"69.52","70.08","66.60","69.89","3,413,049"
10/30/2019,"65.97","70.09","65.66","70.00","4,672,440"
10/29/2019,"65.77","67.11","64.80","65.49","1,825,982"
10/28/2019,"63.96","67.47","62.26","66.56","3,512,760"
10/25/2019,"64.33","64.99","62.79","63.45","1,953,670"
10/24/2019,"63.00","65.94","62.76","64.52","3,437,110"
10/23/2019,"61.33","63.74","60.97","62.06","3,609,183"
10/22/2019,"64.20","64.60","61.02","62.00","4,611,123"
10/21/2019,"65.29","66.50","64.16","65.77","3,078,276"
10/18/2019,"66.26","66.93","64.53","66.08","4,821,710"
10/17/2019,"67.09","68.00","66.76","67.03","3,579,706"
10/16/2019,"69.70","69.95","66.51","67.69","6,077,995"
